algoritmo, qtd, rdn1, rdn2, rdn3, ordem, inver
QuickSort,3600,0,0,0,9,8
Merge,3600,0,0,0,0,0
Bubble,4100,7,7,7,1,4
Insertion,4100,1,1,1,0,2
Selection,4100,3,3,3,3,2
Array,4100,1,0,0,0,0
QuickSort,4100,0,0,0,11,11
Merge,4100,0,0,0,0,0
Bubble,4600,9,8,9,1,5
Insertion,4600,1,2,0,0,2
Selection,4600,5,2,4,4,4
Array,4600,0,0,1,0,0
QuickSort,4600,0,0,0,15,13
Merge,4600,1,0,0,0,0
Bubble,5100,11,10,11,2,6
Insertion,5100,2,0,2,0,2
Selection,5100,5,5,4,5,5
Array,5100,0,1,0,0,0
QuickSort,5100,0,0,1,18,16
Merge,5100,0,0,1,0,0
Bubble,5600,13,12,15,4,7
Insertion,5600,2,2,2,0,4
Selection,5600,5,5,6,5,6
Array,5600,0,0,0,0,0
QuickSort,5600,0,0,0,22,19
Merge,5600,0,0,1,0,0
Bubble,6100,17,18,17,4,9
Insertion,6100,2,1,2,0,5
Selection,6100,6,6,7,6,7
Array,6100,0,0,0,0,0
QuickSort,6100,0,1,0,26,24
Merge,6100,1,0,0,0,0
Bubble,6600,22,22,22,4,10
Insertion,6600,2,2,3,0,5
Selection,6600,8,7,7,8,8
Array,6600,0,1,0,0,0
QuickSort,6600,0,1,0,31,29
Merge,6600,0,1,0,0,0
Bubble,7100,27,27,26,5,13
Insertion,7100,3,2,2,0,7
Selection,7100,8,9,9,9,10
Array,7100,0,0,0,0,0
QuickSort,7100,0,0,0,36,32
Merge,7100,1,0,0,0,0
Bubble,7600,34,34,32,7,13
Insertion,7600,3,3,4,0,6
Selection,7600,11,10,10,10,11
Array,7600,0,0,0,0,0
QuickSort,7600,1,0,0,40,38
Merge,7600,0,0,1,0,0
Bubble,8100,39,38,37,7,15
Insertion,8100,3,4,4,0,9
Selection,8100,12,12,12,11,13
Array,8100,0,0,1,0,0
QuickSort,8100,0,0,0,48,44
Merge,8100,0,1,0,0,0
Bubble,8600,45,46,44,7,18
Insertion,8600,4,4,4,0,9
Selection,8600,14,13,14,13,15
Array,8600,0,0,0,0,0
QuickSort,8600,1,0,0,52,47
Merge,8600,0,0,0,1,0
Bubble,9100,50,50,50,10,20
Insertion,9100,5,5,5,0,10
Selection,9100,15,16,15,15,16
Array,9100,0,0,0,0,0
QuickSort,9100,0,1,0,59,55
Merge,9100,0,0,0,1,0
Bubble,9600,57,58,58,11,22
Insertion,9600,5,6,6,0,11
Selection,9600,16,17,17,16,18
Array,9600,0,0,0,0,0
QuickSort,9600,1,0,0,65,60
Merge,9600,0,1,1,0,1
Bubble,10100,68,69,70,12,24
Insertion,10100,7,6,6,0,12
Selection,10100,19,19,19,18,20
Array,10100,0,0,0,0,0
QuickSort,10100,1,0,0,73,67
Merge,10100,0,0,1,0,0
Bubble,10600,77,79,77,12,27
Insertion,10600,7,7,7,0,13
Selection,10600,21,21,20,20,21
Array,10600,1,0,1,0,0
QuickSort,10600,0,0,1,80,74
Merge,10600,1,1,1,0,0
Bubble,11100,86,91,88,14,29
Insertion,11100,8,8,7,0,15
Selection,11100,24,22,22,22,23
Array,11100,1,0,0,0,0
QuickSort,11100,1,0,0,84,81
Merge,11100,0,0,0,0,0
Bubble,11600,97,97,95,16,32
Insertion,11600,7,8,8,0,17
Selection,11600,24,23,24,23,26
Array,11600,0,1,0,0,0
QuickSort,11600,1,0,0,94,87
Merge,11600,1,1,0,0,0
Bubble,12100,109,109,106,17,34
